InvoiceNo,StockCode,Description,Quantity,date,price,CustomerID,Country
549614,22692,DOORMAT WELCOME TO OUR HOME,2,4/11/11 11:38,"7,95",12720,Germany
549614,48187,DOORMAT NEW ENGLAND,2,4/11/11 11:38,"7,95",12720,Germany
549614,35809A,ENAMEL PINK TEA CONTAINER,24,4/11/11 11:38,"0,83",12720,Germany
549614,35810A,ENAMEL PINK COFFEE CONTAINER,24,4/11/11 11:38,"0,83",12720,Germany
549614,20685,DOORMAT RED RETROSPOT,2,4/11/11 11:38,"7,95",12720,Germany
549614,21731,RED TOADSTOOL LED NIGHT LIGHT,12,4/11/11 11:38,"1,65",12720,Germany
549614,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,4/11/11 11:38,"1,25",12720,Germany
549614,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,4/11/11 11:38,"1,65",12720,Germany
549614,22379,RECYCLING BAG RETROSPOT,5,4/11/11 11:38,"2,1",12720,Germany
549614,22381,TOY TIDY PINK POLKADOT,5,4/11/11 11:38,"2,1",12720,Germany
549614,22343,PARTY PIZZA DISH RED RETROSPOT,24,4/11/11 11:38,"0,85",12720,Germany
549614,22197,SMALL POPCORN HOLDER,12,4/11/11 11:38,"0,85",12720,Germany
549614,21094,SET/6 RED SPOTTY PAPER PLATES,12,4/11/11 11:38,"0,85",12720,Germany
549614,21086,SET/6 RED SPOTTY PAPER CUPS,12,4/11/11 11:38,"0,65",12720,Germany
549614,21987,PACK OF 6 SKULL PAPER CUPS,12,4/11/11 11:38,"0,65",12720,Germany
549614,21988,PACK OF 6 SKULL PAPER PLATES,12,4/11/11 11:38,"0,85",12720,Germany
549614,21989,PACK OF 20 SKULL PAPER NAPKINS,12,4/11/11 11:38,"0,85",12720,Germany
549614,20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,2,4/11/11 11:38,"6,35",12720,Germany
549614,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,2,4/11/11 11:38,"6,35",12720,Germany
549614,22651,GENTLEMAN SHIRT REPAIR KIT,12,4/11/11 11:38,"0,85",12720,Germany
549614,21844,RED RETROSPOT MUG,6,4/11/11 11:38,"2,95",12720,Germany
549680,21731,RED TOADSTOOL LED NIGHT LIGHT,12,4/11/11 13:02,"1,65",12701,Germany
549680,21829,DINOSAUR KEYRINGS ASSORTED,36,4/11/11 13:02,"0,21",12701,Germany
549680,22149,FELTCRAFT 6 FLOWER FRIENDS,6,4/11/11 13:02,"2,1",12701,Germany
549680,84012,MAGIC SHEEP WOOL GROWING FROM PAPER,12,4/11/11 13:02,"2,55",12701,Germany
549680,22555,PLASTERS IN TIN STRONGMAN,12,4/11/11 13:02,"1,65",12701,Germany
549680,20728,LUNCH BAG CARS BLUE,10,4/11/11 13:02,"1,65",12701,Germany
549680,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,4/11/11 13:02,"2,95",12701,Germany
549680,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,4/11/11 13:02,"2,95",12701,Germany
549680,22179,SET 10 LIGHTS NIGHT OWL,2,4/11/11 13:02,"6,75",12701,Germany
549680,20751,FUNKY WASHING UP GLOVES ASSORTED,12,4/11/11 13:02,"2,1",12701,Germany
549680,22431,WATERING CAN BLUE ELEPHANT,6,4/11/11 13:02,"1,95",12701,Germany
549680,23010,CIRCUS PARADE BABY GIFT SET,1,4/11/11 13:02,"16,95",12701,Germany
549680,23007,SPACEBOY BABY GIFT SET,1,4/11/11 13:02,"16,95",12701,Germany
549680,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,4/11/11 13:02,"1,65",12701,Germany
549680,22556,PLASTERS IN TIN CIRCUS PARADE,12,4/11/11 13:02,"1,65",12701,Germany
549680,22704,WRAP RED APPLES,25,4/11/11 13:02,"0,42",12701,Germany
549680,23231,WRAP DOILEY DESIGN,25,4/11/11 13:02,"0,42",12701,Germany
549680,21088,SET/6 FRUIT SALAD PAPER CUPS,24,4/11/11 13:02,"0,19",12701,Germany
549680,21096,SET/6 FRUIT SALAD  PAPER PLATES,12,4/11/11 13:02,"0,39",12701,Germany
549680,84531B,BLUE KNITTED EGG COSY,12,4/11/11 13:02,"0,39",12701,Germany
549680,POST,POSTAGE,2,4/11/11 13:02,18,12701,Germany
550002,POST,POSTAGE,1,4/14/11 9:30,18,12709,Germany
550002,20658,RED RETROSPOT LUGGAGE TAG,40,4/14/11 9:30,"1,25",12709,Germany
550004,22647,CERAMIC LOVE HEART MONEY BANK,12,4/14/11 9:56,"1,45",12569,Germany
550004,22649,STRAWBERRY FAIRY CAKE TEAPOT,16,4/14/11 9:56,"4,95",12569,Germany
550004,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,4/14/11 9:56,"1,49",12569,Germany
550004,22922,FRIDGE MAGNETS US DINER ASSORTED,24,4/14/11 9:56,"0,85",12569,Germany
