InvoiceNo,StockCode,Description,Quantity,date,price,Country
554263,21086,SET/6 RED SPOTTY PAPER CUPS,12,5/23/11 12:32,"0,65",Germany
C554266,23199,JUMBO BAG APPLES,-2,5/23/11 12:48,"2,08",Germany
C554266,23126,FELTCRAFT GIRL AMELIE KIT,-1,5/23/11 12:48,"4,95",Germany
C554266,22431,WATERING CAN BLUE ELEPHANT,-1,5/23/11 12:48,"1,95",Germany
C554266,22433,WATERING CAN GREEN DINOSAUR,-1,5/23/11 12:48,"1,95",Germany
C554266,22244,3 HOOK HANGER MAGIC GARDEN,-5,5/23/11 12:48,"1,95",Germany
C554336,23199,JUMBO BAG APPLES,-2,5/23/11 17:20,"2,08",Germany
C554336,23126,FELTCRAFT GIRL AMELIE KIT,-1,5/23/11 17:20,"4,95",Germany
C554336,22431,WATERING CAN BLUE ELEPHANT,-1,5/23/11 17:20,"1,95",Germany
C554336,22433,WATERING CAN GREEN DINOSAUR,-1,5/23/11 17:20,"1,95",Germany
557569,22551,PLASTERS IN TIN SPACEBOY,12,6/21/11 10:46,"1,65",Germany
557569,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,6/21/11 10:46,"1,65",Germany
557569,22556,PLASTERS IN TIN CIRCUS PARADE,12,6/21/11 10:46,"1,65",Germany
557569,21705,BAG 500g SWIRLY MARBLES,12,6/21/11 10:46,"1,65",Germany
557569,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,6/21/11 10:46,"1,65",Germany
557569,23205,CHARLOTTE BAG VINTAGE ALPHABET,10,6/21/11 10:46,"0,85",Germany
557569,20711,JUMBO BAG TOYS,10,6/21/11 10:46,"2,08",Germany
557569,20719,WOODLAND CHARLOTTE BAG,10,6/21/11 10:46,"0,85",Germany
557569,20724,RED RETROSPOT CHARLOTTE BAG,10,6/21/11 10:46,"0,85",Germany
557569,22025,RING OF ROSES BIRTHDAY CARD,12,6/21/11 10:46,"0,42",Germany
557569,22716,CARD CIRCUS PARADE,12,6/21/11 10:46,"0,42",Germany
557569,22029,SPACEBOY BIRTHDAY CARD,12,6/21/11 10:46,"0,42",Germany
557569,22814,CARD PARTY GAMES,12,6/21/11 10:46,"0,42",Germany
557569,21746,SMALL RED RETROSPOT WINDMILL,12,6/21/11 10:46,"1,25",Germany
557569,22492,MINI PAINT SET VINTAGE,36,6/21/11 10:46,"0,65",Germany
557569,22898,CHILDRENS APRON APPLES DESIGN,8,6/21/11 10:46,"1,95",Germany
557569,21156,RETROSPOT CHILDRENS APRON,8,6/21/11 10:46,"1,95",Germany
557569,22367,CHILDRENS APRON SPACEBOY DESIGN,8,6/21/11 10:46,"1,95",Germany
557569,22326,ROUND SNACK BOXES SET OF4 WOODLAND,12,6/21/11 10:46,"2,95",Germany
557569,22328,ROUND SNACK BOXES SET OF 4 FRUITS,12,6/21/11 10:46,"2,95",Germany
557569,23206,LUNCH BAG APPLE DESIGN,10,6/21/11 10:46,"1,65",Germany
557569,22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,6/21/11 10:46,"8,5",Germany
557569,22973,CHILDREN'S CIRCUS PARADE MUG,12,6/21/11 10:46,"1,65",Germany
557569,POST,POSTAGE,2,6/21/11 10:46,18,Germany
558109,21936,RED RETROSPOT PICNIC BAG,15,6/26/11 15:36,"2,95",Germany
