InvoiceNo,StockCode,Description,Quantity,date,price,Country
537673,21429,RED GINGHAM ROSE JEWELLERY BOX,10,12/8/10 9:49,"1,65",Germany
537673,22467,GUMBALL COAT RACK,36,12/8/10 9:49,"2,1",Germany
537673,22625,RED KITCHEN SCALES,24,12/8/10 9:49,"7,65",Germany
537673,22627,MINT KITCHEN SCALES,6,12/8/10 9:49,"8,5",Germany
537673,85049E,SCANDINAVIAN REDS RIBBONS,24,12/8/10 9:49,"1,25",Germany
537673,20979,36 PENCILS TUBE RED RETROSPOT,32,12/8/10 9:49,"1,25",Germany
537673,POST,POSTAGE,7,12/8/10 9:49,18,Germany
539401,21485,RETROSPOT HEART HOT WATER BOTTLE,15,12/17/10 12:02,"4,95",Germany
539401,21258,VICTORIAN SEWING BOX LARGE,16,12/17/10 12:02,"10,95",Germany
539401,22343,PARTY PIZZA DISH RED RETROSPOT,24,12/17/10 12:02,"0,21",Germany
539401,22504,CABIN BAG VINTAGE RETROSPOT,12,12/17/10 12:02,"12,75",Germany
539401,22503,CABIN BAG VINTAGE PAISLEY,12,12/17/10 12:02,"12,75",Germany
539401,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,12/17/10 12:02,"1,25",Germany
539401,20685,DOORMAT RED RETROSPOT,30,12/17/10 12:02,"6,75",Germany
542106,21210,SET OF 72 RETROSPOT PAPER  DOILIES,48,1/25/11 13:37,"1,45",Germany
542106,22423,REGENCY CAKESTAND 3 TIER,32,1/25/11 13:37,"10,95",Germany
542106,21916,SET 12 RETRO WHITE CHALK STICKS,24,1/25/11 13:37,"0,42",Germany
542106,21592,RETROSPOT CIGAR BOX MATCHES,24,1/25/11 13:37,"1,25",Germany
542106,22627,MINT KITCHEN SCALES,12,1/25/11 13:37,"7,65",Germany
542106,20676,RED RETROSPOT BOWL,24,1/25/11 13:37,"1,25",Germany
542106,20676,RED RETROSPOT BOWL,24,1/25/11 13:37,"1,25",Germany
542106,21238,RED RETROSPOT CUP,30,1/25/11 13:37,"0,85",Germany
542106,21217,RED RETROSPOT ROUND CAKE TINS,24,1/25/11 13:37,"8,95",Germany
542106,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",24,1/25/11 13:37,"4,25",Germany
542106,21658,GLASS  BEURRE DISH,48,1/25/11 13:37,"3,39",Germany
C542346,21896,POTTING SHED TWINE,-2,1/27/11 12:00,"1,85",Germany
C542346,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-1,1/27/11 12:00,"2,55",Germany
C542346,22423,REGENCY CAKESTAND 3 TIER,-4,1/27/11 12:00,"10,95",Germany
C542346,22467,GUMBALL COAT RACK,-3,1/27/11 12:00,"2,1",Germany
C542346,85232B,SET OF 3 BABUSHKA STACKING TINS,-5,1/27/11 12:00,"4,25",Germany
C542346,21658,GLASS  BEURRE DISH,-1,1/27/11 12:00,"3,39",Germany
C542346,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,-1,1/27/11 12:00,"0,72",Germany
C542346,22606,WOODEN SKITTLES GARDEN SET,-1,1/27/11 12:00,"12,75",Germany
C543469,21258,VICTORIAN SEWING BOX LARGE,-1,2/8/11 14:55,"10,95",Germany
C543469,22503,CABIN BAG VINTAGE PAISLEY,-1,2/8/11 14:55,"12,75",Germany
C543469,21452,TOADSTOOL MONEY BOX,-2,2/8/11 14:55,"2,55",Germany
C543469,21658,GLASS  BEURRE DISH,-2,2/8/11 14:55,"3,39",Germany
C543469,22504,CABIN BAG VINTAGE RETROSPOT,-1,2/8/11 14:55,"12,75",Germany
C543469,22627,MINT KITCHEN SCALES,-1,2/8/11 14:55,"7,65",Germany
C543469,22423,REGENCY CAKESTAND 3 TIER,-2,2/8/11 14:55,"10,95",Germany
C543469,85232B,SET OF 3 BABUSHKA STACKING TINS,-1,2/8/11 14:55,"4,25",Germany
C543469,21896,POTTING SHED TWINE,-1,2/8/11 14:55,"1,85",Germany
545295,22567,20 DOLLY PEGS RETROSPOT,20,3/1/11 12:09,"1,25",Germany
545295,84029E,RED WOOLLY HOTTIE WHITE HEART.,10,3/1/11 12:09,"3,75",Germany
545295,21485,RETROSPOT HEART HOT WATER BOTTLE,24,3/1/11 12:09,"4,25",Germany
545295,22354,RETROSPOT PADDED SEAT CUSHION,20,3/1/11 12:09,"3,75",Germany
545295,22333,RETROSPOT PARTY BAG + STICKER SET,30,3/1/11 12:09,"1,65",Germany
545295,21086,SET/6 RED SPOTTY PAPER CUPS,48,3/1/11 12:09,"0,65",Germany
545295,21080,SET/20 RED RETROSPOT PAPER NAPKINS,30,3/1/11 12:09,"0,85",Germany
545295,22626,BLACK KITCHEN SCALES,6,3/1/11 12:09,"8,5",Germany
545295,22625,RED KITCHEN SCALES,20,3/1/11 12:09,"7,65",Germany
545295,21212,PACK OF 72 RETROSPOT CAKE CASES,48,3/1/11 12:09,"0,55",Germany
545295,21242,RED RETROSPOT PLATE,40,3/1/11 12:09,"1,69",Germany
