CustomerID,recency_days,frequency,monetary,total_items,first_purchase,last_purchase,r_score,f_score,m_score,segment
17450,18,6,10496.0,37,2011-03-24T18:34:00.000Z,2011-11-21T14:21:00.000Z,2,1,1,Lost
14911,4,85,4364.0,89,2010-12-01T14:05:00.000Z,2011-12-05T10:18:00.000Z,1,1,1,Lost
15581,120,2,2750.0,2,2011-08-01T11:44:00.000Z,2011-08-11T09:38:00.000Z,4,2,1,New
12471,2,21,2400.0,21,2010-12-10T09:48:00.000Z,2011-12-07T15:43:00.000Z,1,1,1,Lost
14607,17,4,2120.0,4,2011-10-24T09:52:00.000Z,2011-11-22T09:34:00.000Z,2,1,1,Lost
12540,19,17,1820.0,17,2010-12-13T09:39:00.000Z,2011-11-20T11:31:00.000Z,2,1,1,Lost
12748,1,9,1788.0,13,2010-12-05T16:41:00.000Z,2011-12-08T17:37:00.000Z,1,1,1,Lost
15482,15,7,1646.0,21,2010-12-16T10:08:00.000Z,2011-11-24T10:46:00.000Z,1,1,1,Lost
14646,17,18,1458.0,19,2010-12-20T10:09:00.000Z,2011-11-22T13:47:00.000Z,2,1,1,Lost
12681,14,22,1422.0,22,2010-12-07T10:08:00.000Z,2011-11-25T11:33:00.000Z,1,1,1,Lost
12678,42,9,1297.0,9,2010-12-21T11:00:00.000Z,2011-10-28T07:39:00.000Z,3,1,1,Others
12621,1,18,1278.0,18,2010-12-09T10:16:00.000Z,2011-12-08T11:25:00.000Z,1,1,1,Lost
12682,3,29,1260.0,29,2010-12-03T13:59:00.000Z,2011-12-06T10:00:00.000Z,1,1,1,Lost
12359,57,3,1250.0,7,2011-01-12T12:43:00.000Z,2011-10-13T12:47:00.000Z,3,2,1,Others
17500,17,3,1105.0,3,2011-11-10T09:08:00.000Z,2011-11-22T14:25:00.000Z,2,1,1,Lost
12428,25,6,1000.0,6,2011-03-20T15:46:00.000Z,2011-11-14T08:22:00.000Z,2,1,1,Lost
12569,2,31,972.0,31,2011-04-01T13:47:00.000Z,2011-12-07T16:24:00.000Z,1,1,1,Lost
12444,21,4,920.0,4,2011-08-10T08:41:00.000Z,2011-11-18T13:23:00.000Z,2,1,1,Lost
12476,15,9,918.0,9,2011-01-31T11:46:00.000Z,2011-11-24T12:40:00.000Z,1,1,1,Lost
13983,39,3,870.0,3,2011-02-07T12:46:00.000Z,2011-10-31T12:05:00.000Z,2,2,1,Lost
12683,4,13,864.0,13,2010-12-09T10:37:00.000Z,2011-12-05T16:31:00.000Z,1,1,1,Lost
12432,170,2,830.0,2,2011-06-20T13:27:00.000Z,2011-06-22T13:12:00.000Z,4,2,1,New
12567,22,8,792.0,8,2010-12-05T11:57:00.000Z,2011-11-17T11:02:00.000Z,2,1,1,Lost
13505,72,4,760.0,4,2011-04-21T12:07:00.000Z,2011-09-28T11:56:00.000Z,3,1,1,Others
14973,107,2,750.0,3,2011-04-28T12:22:00.000Z,2011-08-24T15:51:00.000Z,4,2,1,New
12502,95,5,728.0,5,2011-02-03T10:41:00.000Z,2011-09-05T11:52:00.000Z,4,1,1,New
14156,9,14,675.0,14,2011-03-10T10:32:00.000Z,2011-11-30T10:54:00.000Z,1,1,1,Lost
12720,2,12,666.0,12,2010-12-05T15:21:00.000Z,2011-12-07T08:03:00.000Z,1,1,1,Lost
12626,23,9,666.0,9,2011-01-17T11:01:00.000Z,2011-11-16T16:06:00.000Z,2,1,1,Lost
14711,91,4,655.0,5,2011-04-21T12:00:00.000Z,2011-09-09T13:42:00.000Z,3,1,1,Others
